med_name
"(Bofalogn)Paracetamol Infusion"
"Bago cap(Capecitabine-500mg)"
"Bandage (Creat Bandage) 4\""
"Bandage (Creat Bandage) 6\""
"Bandage 2\""
"Bandage 2\" အထူ"
"Bandage 4\""
"Bandage 4'' အထူ"
"Bandage 6\""
"baricit 4"
"Barinat 4mg"
"BCAA tablet"
"Becoactin"
"Becoactin Syp 100ml"
"Becozinc"
"Becozinc Syp"
"Bedomethasone"
"Behrumn 1.5 g Iv"
"Beniclav 228.5mg"
"Bepanthen Cream"
"Bepathan cream"
"Berclomin Spy"
"Berocca"
"Berocca (ေရဆူးေဆးျပာ)"
"Berocca Performance"
"Berodual N inhalar"
"Betaclog cream"
"Betad cream"
"Betaday 10"
"Betadine Mouth Wash"
"Betadine Small"
"Betadine Spary"
"Betadine Vaginal Douche"
"Betapls N"
"Betavate N cream"
"Betet-DM"
"Betex"
"Betex  Stress"
"Betex Drop"
"Betnovate GM Cream"
"Bevit (B1)"
"Bherum-S inj"
"Bicozin syp"
"Bilac"
"Bilaxten 20mg"
"Bio TT"
"Biocium"
"Bioflor(pk)"
"Biogesic"
"Biogesic 120mg (syp)"
"Biogesic 250mg Syp"
"Biogesic drop"
"Bioplancenton Cream"
"Biotin 5000"
"Bisolvon Inj"
"Bisomol tab"
"Bisoprolol 2.5mg"
"Bisoprolol 5 mg"
"Blade 10"
"Blade 11"
"Blade 12"
"Blade 15"
"Blade 20"
"Blade 21"
"Blade ရိုးရိုး"
"Blood Bag"
"Blood set"
"Bofalgan (paracetamol  Infusion)"
"Bon Gard"
"Bone care"
"BP Card (large)"
"BP Card (small)"
"Brainact inj"
"Brainact Tab"
"Breat Pump"
"Brochest"
"Brustan"
"BS ear drop"
"Budesonide(ventolin) 250"
"Burmeton"
"Burplex elixir Syp"
"Burplex iv"
"Burplex Tab"
"Burscabe"
"Buscabe"
"Buscopan"
"Buscopan Inj"
"Butrum inj 1g"
"Buvac Inj"
"C'col Syp"
"C-20 Mouth Wash"
"C-Pen Inj"
"Cachnerve Tab"
"Caffine solution syp"
"Caladryl Lotion"
"Calcibone D Tab"
"calcitriol 0.25"
"Calcium carbonate inj"
"Calcium Dabesilate ( Optium)"
"calcium gluconate inj"
"Calcium syp 100ml"
"Calcivita Cap"
"Calcivita Forte"
"Calciwell Tab"
"Callog"
"Calvicle Brace"
"Calvit-D 500mg"
"Calvox Inj"
"Candesartan 8mg"
"Candicure 100mg Vg"
"Candid cre am"
"candid eye / ear drop"
"Candid powder"
"Cannula Blue"
"Cannula Grean"
"Cannula Pink"
"Cannula Purple"
"Cannula Yellow"
"Cannula, Plaster, Bandage 2''"
"Canoio (coltrymazole ear drop)"
"Cap"
"Carberlin tab"
"Carbimazole  Tab 5mg"
"Cardimax SR"
"Cardiopril 2.5"
"cardiovit"
"Cardivas 3.125mg"
"Cardivas 6.25mg"
"Care Drop"
"Carpime S 1.2g"
"Carvidom MR"
"Carvit Tab"
"Ceelin Drop"
"ceelin Plus 120ml"
"Ceelin Plus 60ml"
"Ceelin Plus Tab"
"Ceelin Syp"
"Cefepine Inj (Lypime)"
"cefepine Iv (alcepine)"
"Cefezone Plus inj"
"Cefixime (K-CEF 100 DT)"
"Cefixime 100mg Syp"
"Cefixime 50mg Syp"
"Cefolac (Cefixime) 200mg"
"Cefotaxime Inj"
"Cefpersan S Inj"
"Cefram Drip"
"Ceftazidine Inj"
"cefuroxime 250mg"
"Cefuroxime 500mg(VEXURO 500)"
"Cefuroxime inj 1.5g"
"Cefuroxime inj 750mg"
"Celecoxid 100mg(CELCO)"
"Celecoxid 200mg(CELEC-200)"
"Celemin Drip"
"Celemin Hepa Drip"
"Celemin Nephro Drip"
"Celinish Iv"
"Cellcept 500mg"
"Cera Check Strip"
"Cera Check စက္"
"Cerazone  Plus Inj"
"Cerebrolysin Inj"
"Cervarix Vial"
"Cetrine Syp"
"Cetrizine(Pai Cetrizine)"
"Cevit 100mg(Pai VC)"
"Cevit 500mg tab"
"Cevit Inj"
"Champs"
"Champs 100 tab"
"Chemo - pro powder"
"Chericof lozenges"
"Chericof spy"
"Chest Bottle"
"Chest Drainage ( Catheter No.28)"
"Cholechrush"
"Chromic 0"
"Chromic 1"
"Chromic 2/0"
"Chromic 3/0"
"Chromic 4/0"
"Cicatrin Powder"
"Cifran 500mg"
"Cifran Drip"
"Cifran Eye Drop"
"Cifran-250mg"
"Cilacar 10mg"
"Cilacar 5mg"
"cilarish 1g inj"
"Ciprofloxacin 500mg(Kapron-500)"
"Cital Syp"
"Citaz 100mg"
"Citiken Plus"
"citopam 20"
"Clandamycin 300mg"
"Clarihromycin 500"
"Clarithromycin 250mg"
"Clarityn Loratadine sy"
"Clarityn syp"
"Clexane 4000IU /0.4ml Inj"
"Clexane Inj 0.4ml"
"Clexane Inj 0.6ml"
"Clidamycin inj"
"Clinadan 150"
"Clindamycin 150mg"
"Clindamycin cream"
"Cloben-G Cream"
"Clobetasol Cream(dermasol)"
"Clofen Plus"
"Clomix Syp"
"Clopilet"
"Clotri Denk Cream"
"Cloxa Inj"
"Cloxacillin 250mg"
"Co Q10 (Coenzyme)"
"Coartem"
"Coboplatin (ကင္ဆာေဆး)+Paclitoxel"
"Coconut Oil"
"Colchicin 6mg"
"Colicaid syp"
"Colimix syp"
"Colinix"
"Collor"
"Colostomy Bag"
"Coltrimazole Vg tab(Cristan)"
"Compound Miconazole Cream"
"Condon"
"Contiflo OD"
"Cool Eye"
"Cool Skin Gel"
"Corb Clamp"
"Cord Clamp"
"Corvidon MR"
"cotri cream"
"Cotri Syp"
"Cotri Vg Tab"
"Cotton (large)"
"Cotton (small)"
"Coveran 10/10"
"Coveran 5/10mg"
"Coveran 5/5"
"Coversyl 5mg"
"CPZ"
"CQ"
"Cranberry"
"Credit balance"
"Cresp-25 (Dabipotein)"
"CS 1 Inj"
"CS2 inj"
"Curcuma Emulsion Syp"
"Curcuma Plus 120ml"
"Curcuma Plus 60ml"
"Curum (1200mg) Inj"
"Curum (600mg) Inj"
"Curum (pd)"
"Curum 375"
"Cvion 500 (tab)"
"Cycloxan 1000 inj"
"Cyelophosphmide tablet"
"Cyprotone Syp"
"Cystoff"
"Cytotec Tab"
"D care"
"D Min"
"D Protein"
"D-1000"
"D.M Strip"
"D/S Drip"
"D/W Drip"
"Daflon 500mg"
"Daneuron"
"Dapa met 850/5 tab"
"Dapaxiga 10mg"
"Dazolic Tab"
"Decadurabolin IV"
"Declav 325(cefixime200mg+potassiun clavalnate 125)"
"Decolgen"
"Defal 6"
"Deferssirox 500mg"
"Delax"
"Delsia"
"Demantin Tab"
"Dengue Strip"
"Denk Air 10"
"Dento gel"
"Denzo"
"Depo + ေဆးထုိးခ"
"Depo Inj"
"Depomedol Inj"
"deriphyllin inj"
"Deriphyllin Tab"
"Deriphylline Retare 150mg"
"Derise25 inj"
"Desheal (Deslordaine)"
"Deslova (desloratadine)"
"Developer"
"Dexa (Neomycin)"
"Dexa eye,ear drop (Eyedex)"
"Dexa Inj"
"Dexa Tab"
"Dexoph e/d"
"Dextro tab"
"DHA Mon"
"DHEA Cap"
"DHEA Plus"
"Diabetasol"
"Diabetone"
"Diacare NM"
"Diathamy Plate"
"Diathemy Steal Plate"
"Diathemy Tip"
"Diazepan"
"Diclo Denk Inj"
"Diclo denk suppo 100mg"
"Diclo Gel"
"Diclo Inj"
"Diclo Suppo 100mg"
"Diclo Suppo 50mg"
"Diclo Tab 25mg"
"Diclo Tab 50mg"
"Dicorate ER"
"Dicotil"
"Didcartuss Tab"
"Digestine 40mg"
"Digital caltheter"
"Digoxin"
"Diltigesic cream"
"Dimenhydinate"
"Dipyridimol"
"Disposible protoscope"
"Ditizam 30mg"
"DLAC (100ml)"
"Dlac200ml"
"DMR 30"
"DMR 60"
"Dolfenal 250mg"
"Dolfenal 500mg"
"Dologan denk"
"Doloneuron 100"
"Dolzero"
"Domperidone (drop)"
"Domperidone (spy)"
"Donus"
"Donut"
"Dopamin Inj"
"Doputamin Inj"
"Doverine"
"Doxophyllin 400mg"
"Doxycycline"
"Dr-C 500mg"
"Drate 10mg"
"Dressing Kit"
"Drez cream 30g Big"
"Drez Ointment"
"Dri Set (Pcv)"
"Drip Set"
"Drofen 150mg"
"Dronis"
"Drospenin 20"
"Drozil 500mg"
"Dudat"
"Dudat -T"
"Dulac Syp"
"Dulo 20"
"Duloxeterin 20mg"
"Dumer Mamex Powder ( Lactulose Free)"
"Duonase nasal spary"
"Dupbaston 10mg"
"Duphalac 667mg/ml"
"Duracard 1"
"Duralyn CR"
"Duriphylline ( inj )"
"Dutix 20"
"Duvadilan 10mg"
"Duzala 20Tab"
"Duzela 30mg"
"DV60k tab"
"Dynamoegen tab"
"Dynapa inj"
"Dynapya Tab"
"Dynetic"
"DZ Inj"
"E"
"E Nat Cap"
"Easy Gel"
"ECG Paper"
"Ecziderm-S Onguent"
"EDTA Tube"
"EG Omega 3"
"EG Pregneed"
"EG Primose"
"EG Vit.C 500"
"Elastic Stocking"
"Electrical Forte ORS"
"Elores 1.5g"
"Elovac B (adult)"
"Eltroxin 100mcg"
"Embevin 28"
"Emflozin 10mg"
"Emflozin 25mg"
"Emycin 250"
"Emycin Syp"
"Enapril 5mg(Enalapril)"
"Encifer(inj)"
"Encorate"
"Encorate Chono"
"Encorate sy"
"Endclav 625 Tab"
"Endotracheal Tube No.3"
"Endotracheal Tube No.3.5"
"Endotracheal Tube No.4"
"Endotracheal Tube No.5"
"Endotracheal Tube No.5.5"
"Endotracheal Tube No.6"
"Endotracheal Tube No.6.5"
"Endotracheal Tube No.7"
"Endotracheal Tube No.7.5"
"Enervon C Kit 120ml"
"Enervon C Kit 60ml"
"EnervonC"
"Engerix B 0.5ml (child)"
"Engerix B 1ml (Adult)"
"Enhanin Inj"
"Enoxaparin inj0.4"
"Enoxasprin 60mg  IV"
"Enpott(Slow K)"
"Enzy-L"
"Enzyplex"
"Ephedrine Inj"
"Epidural Needle"
"EPO E"
"Eposolf 1000mg"
"Eprel Tab"
"Er-gort Inj"
"Ergotmetrine"
"Erthromycim P/D"
"Escitalopram 20"
"Esomeprazole  20"
"Esoright Powder inj"
"Etoshine 60mg"
"Etoshine 90mg"
"Etovit 400mg"
"Etra tab"
"Etraconazole"
"Eurden cream"
"Euro Flex Maxx"
"Eusol Large"
"Eusol Small"
"Euvax B"
"Evening Primose Oil Tab"
"EvoFix  sy (cefixime)"
"Exam Glove"
"Exluton Tab"
"Extension Tube"
"Extrovit"
"Eyevit"
"Face Shield"
"Fcaboma lotion"
"Fea (Para-120 sy)"
"Febuxo 40mg"
"Feldopime ( inj )"
"Feno TG"
"Fentyl Inj"
"Fentyl Transderm"
"Fer Plus"
"Ferion"
"Ferro  BC"
"Ferrovit"
"Fertomid 50mg"
"Ficocyte (inj) S/C"
"Film No 1"
"Film No 2"
"Film No 3"
"finast"
"fintin syp"
"Fish Oil"
"Fitmeal Cream"
"Fixaplast"
"Fixer"
"Flax 369"
"Flemex"
"Flemex inj"
"Flemex Spy Big"
"Flemex Syp"
"Flemil sy"
"Flexil 8"
"Flexivit"
"Flexosone spray"
"Flora"
"Flow"
"Floxsafe 400mg"
"Flubex Syp"
"Flucloxcillin 250mg cap"
"Fluconazole 150mg"
"Flumox"
"Flumox Inj"
"Flumox Syp"
"Fluticasone Spray"
"Foley Catheter No.10"
"Foley Catheter No.12"
"Foley Catheter No.14"
"Foley Catheter No.16"
"Foley Catheter No.18"
"Foley Catheter No.20"
"Foley Catheter No.22"
"Foley Catheter No.8"
"Folic acid"
"folic acid inj"
"Foly Catheter No.20 3way"
"Fondaparinux  (Inj)"
"Forezan CV"
"Fortamin Syp 110ml"
"Fortigermina"
"Freeding Tube No.5"
"Fresh Glucose"
"Fugacar(mebendazole 500mg)"
"Fungiderm cream"
"futop cream"
"Fytobact 1g (Subactam+Xone)"
"G-cross(hand gel)"
"Gabapentin 100mg Cap"
"Gabax 50 mg"
"Ganaton 50mg(Itopride)"
"Gapapentin 300mg Cap"
"Gardasil Inj"
"Gasex"
"Gastrobiz Tab"
"Gaullac (lactofree)"
"Gauze 4/3"
"Gauze Roll"
"Gazore"
"Gazyme (Gaszym)"
"Gelofusin Drip"
"Generlog cream"
"Gensulin inj"
"Gensulin Neddle"
"Gensulin Pen"
"Genta eye/ear drop"
"Gentalence-G"
"Gentalene C Cream"
"Gentamycin Inj"
"Gestid"
"Gesulin M+Pen+Neddle"
"Gincan Cap"
"Ginkgo"
"Ginkgo capsules"
"Ginsorgin Cap"
"Glakay Tab"
"Glidazide 80mg Tab"
"Glipizide 5mg"
"Glove 6"
"Glove 6.5"
"Glove 7"
"Glove 7.5"
"Glove Long 6.5"
"Glove Long 7"
"Glove Long 7.5"
"GlucardTab"
"Glucart tab"
"Glucodip 100mg"
"Glucodip 25mg"
"Glucodip 50mg"
"Glucosan Inj"
"Glucose Power"
"Glycerine suppo"
"Glyzen (Metformin 500mg)"
"GO  CKD"
"Go Cardio Care"
"Go liver support"
"Gofen Cap"
"Gouze Roll Large"
"Gouze Roll Small"
"Gradual powder"
"Gramin syp"
"Graniset Tab"
"Grieofuvin 125mg"
"Grip Mixture Syp"
"Grovit Drop"
"Grovit Syp"
"Grown"
"Gsiptin-M"
"GTN inj"
"Guedel airway"
"Gynomix Vg tab"
"H2O Inj"
"Haemoglobin Strip"
"Haloperidol"
"Hangar 10/12"
"Hangar 12/15"
"Hangar 8/10"
"Hansaplat"
"Haridol D Inj"
"HB max"
"Hb Rich Plus 200ml Syp"
"HBS Ag Strip"
"HCV Strip"
"Healit cram"
"Heart Plus"
"Heltan (inj)"
"Hememin white Bland"
"Hemoglobin HBA1C"
"Hemoglobin Strip"
"Hemsmic Inj"
"Hepa"
"Hepabig Inj(Immune Globulin,Human)"
"Hepavax (Hemo)"
"Hepavax Vil ( Adult)"
"Hepavax Vil (Child)"
"Hepavit"
"Hepaximin -550"
"Hepazimin 550 mg"
"Hidrasec (Racecadotril-100mg)"
"Hirudoid Forte Cream"
"Hiruriod cram s"
"Hiruroid 10g (B)"
"Hiruscar Cream"
"Hiruscar silicon Pro"
"HIV Strip"
"HIV Strip ( Shwe Ziwa)"
"HIV Strip (Shwe Chan)"
"Hovite syp"
"Human Albumin Drip"
"Humano - O milk Powder"
"Hydralazine inj"
"Hydraxyurca"
"Hydro Cream"
"Hydrochlorothiazide"
"Hydrocotisone Inj"
"Hydrogen peroxide"
"Hydrotopic Cream"
"Hydroxil Tab"
"Hyiodine 22g"
"Ibandro 150"
"Ibuprofen"
"Ibuprofen Denk 400"
"Ibuprofen Spy"
"Icon Fertil"
"Ifluvac inj"
"II Care Cap"
"Imepenum inj"
"Imimax 500mg inj"
"Immidex inj"
"Immun Pro"
"Immunace Cap"
"Immune master"
"Immuno Boost"
"Immuno Care"
"Imodium Tab"
"Imprant+Ventolin"
"Impravate"
"Imunor Cap"
"INDIRAB inj"
"inj cevit+k vit"
"inj Cevit+K vit+Azeptil"
"Inspire Strips"
"Insulin  N"
"Insulin  R"
"Insulin (Biosulin)"
"Insulin (lantus)"
"Insulin Inj (GLARITUS)"
"Insulin Inj (Mixstart)"
"Intralipid 10% 500ml"
"Ipralin ( ipravent +salbtamol )"
"Ipralmol"
"Iprax- Lmol"
"Iron inj"
"Irovel150 mg"
"Isoflurone Inj"
"Itroconazole"
"Itrodex Eye"
"IUCD Load"
"Jardiance tab"
"Jasocaine (Adrenalin) Local"
"Jeteper Inj"
"Joke"
"Joke-Blade"
"K Stat ( inj )"
"k-lock (15g)"
"K-stat 250"
"k-stat 500mg"
"K-vit  tab"
"K-Vit Inj"
"Karezon (CS2) Inj"
"Katamine Inj"
"Kataria"
"Kefosul (CS1)"
"Kemose"
"Keto Trust"
"Ketoconazole Tab"
"Ketorn tab"
"Ketorol Cream (Gel)"
"Ketorolac Inj"
"Ketorolac Tab"
"Ketosteril tab"
"Kevit Tab"
"Kidicare sy"
"Kidmin Drip"
"Kilac powder"
"Kofwise inj"
"Konimag"
"Kremil S Tab (pink)"
"Kremil S Tab (white)"
"Kruvoc INg"
"KT-VDRL Strip"
"Kusarta tab"
"labetalol (inj)"
"Labetalol inj"
"Lactofer"
"Lactose Fee (Gaullac)"
"Lady DO"
"Lamicef IV"
"Lamotrigine tab"
"Lancets Needle"
"Lannakaloid-E Cream"
"lasix 500mg"
"Lasix Inj"
"Lasix Tab"
"Laxiwal Syp"
"Laxpime 1125mg inj"
"lazon 2.5mg"
"LDNIL 10mg"
"Lefora"
"Len Sen"
"Lepro"
"Level (2) Grown+Mask +cap+glove"
"Levepil 500mg"
"Levipil 250"
"Levipil inj"
"Levo 250mg Tab"
"Levo 500mg Tab"
"Levo IV"
"Levocetrizine 10mg"
"Levothyroxine"
"LH Kit (Strip)"
"Linaglip"
"Lincomycin Cap"
"Linizol IV"
"Lipid Drip (100ml)"
"Lipid Drip (500ml)"
"Lipid Profile Strip"
"Liquid Paraffin"
"Listerine"
"Liv 52"
"Liv up Tab"
"Liver care"
"Liveract inj"
"Liveril Tap"
"Liversol Drip"
"Livola Iv(Jetepar)"
"Livolin Forte Cap"
"Livolin Maxx"
"Livoluk 100ml"
"Livopat"
"Livovax B (Adult)"
"Livovax B (Child)"
"Lizol 600mg"
"LMA Tube 2,2.5,3,4"
"Lobak"
"Local Inj"
"Local+Adrenalin"
"Lomoh 0.6 Iv"
"Loratadine Tab"
"Lorilap"
"Lorix cream"
"Losartan 25mg Tab"
"Losartan 50mg Tab"
"Lotax (lorazepan)2mg"
"Lowplat plus Tab"
"Lowplat Tab"
"Loxfen tab"
"Lycopan 200mg Iv"
"Lycoplan 400 mg inj"
"lydia Fine"
"Lydia Implanex"
"Lydia Lacta"
"Lydia Rosa"
"Lykapanzole 40mg Inj ( Pentocid)"
"M-Gold"
"Macta Tab"
"Magnase Denk"
"Magnesium Sulphate Inj"
"Malaria Strip"
"MaMa forte Plus"
"Mama Nip cream"
"Mama Staet"
"Mannitol Drip"
"Marcain Inj"
"Marvalon 28"
"Mask"
"Mask Harnia"
"Mave(mebeverine)200mg"
"Max Ovit Tab"
"Maxalon Inj"
"Maxcetop inj"
"Maxipain Tab"
"Maxlon Tab"
"Maxx Omega 3"
"Mebandazole 100mg"
"Mecolin Tab"
"Medazolin inj"
"Medicof Catheter"
"Meditrol"
"Medixan 16"
"Medixan 4"
"Medocephine Inj (Xone)"
"Meek Calvicle"
"mefloquine"
"Meftalspa  Tab"
"Megnesium sulfate inj"
"Melatonin"
"Melatonin 3mg(GNC)"
"Melotanin 3mg (21 century)"
"Memo Prove Tab"
"Menopace Calcium"
"Menopace Cap"
"Menopax Brand Cap"
"Menopenam Iv 1000 mg"
"Merisolon Tab"
"Meropenem 1000mg"
"Mert Gold"
"metaspray"
"Metformin 850mg"
"Metformin Denk  500mgTab"
"Metformin Denk 850mg"
"Metformin SR 1000"
"Metformin Tab"
"Methycobal 500"
"Methycobal Inj"
"Methycobal(solupered powder)"
"Methyl pread inj"
"Metoprolol  XL 50mg"
"Metoprolol 50"
"Metpure Xl 12.5"
"Metro Drip"
"Metro Gel cream"
"Metro Syp"
"Metro Tab"
"Mexagrip S-1 Inj"
"Mexagrip S-2 inj"
"Meximac 400mg"
"Midazolan inj"
"MIM Drop"
"Minigadine Syp"
"Mirax M Tab"
"Mixagrip ငံုေဆး"
"Moliton 10 mg"
"Molnupiravir 200mg"
"Mom Care Plus"
"MOM Tab"
"Mometasone Cream"
"Monotrate"
"Montek 5"
"Montex 10mg Tab"
"Moramin S2 Inj"
"Moriamin Ace"
"Moriamin Drip"
"Moriamin Forte"
"Morihepamin - Ace"
"Morihepamin Drip"
"Morphine inj"
"Movcol pk"
"Move Free"
"Moxiclov 625"
"Moxifloxacin tab"
"Moxiget  Iv"
"Moza 5 Tab"
"Muclar 600mg"
"Mucodyl"
"Mucodyl syp"
"Multi Power spy"
"Multi Vitamins & Minerals"
"Multi-loop(lydia)"
"Multivitamin Inj"
"Mumguard Cap"
"Mupi Cream"
"Musol  tab"
"Mybacin"
"Mycovax 500mg"
"Myglip 5mg"
"Myglip Plus 2.5/500mg"
"Myomethol Tab"
"Myonal Tab"
"myonit SR 2.6"
"Myonit SR 6.4"
"myootom"
"Myospa Tab"
"N/S (B Borum)"
"N/S Drip"
"N/S nasal drop"
"Naclo-R"
"Nadoxin Crean"
"Nano D (vit D 6000)"
"Nanocoll cream"
"Nanokine Inj"
"Nasivion N/D (Child)"
"Nasivion N/D(dult)"
"Nat B Cap"
"Nat C Tab"
"NATRILAM 1.5mg/10mg"
"Natrilam 1.5mg/5mg Tab"
"Natrilix SR Tab"
"Naze 1mg"
"Nebanol Oilment"
"Needle 18"
"needle 21G"
"Needle 22"
"Needle 23"
"Needle 25"
"Needle 27"
"Nefrosafe tablet"
"Neo Mixagrip"
"Neobact  Tab"
"Neogadine 150ml(syp)"
"Neogadine 300ml(syp)"
"Neometin Vg Tab"
"Neomycin"
"Neomycin cream"
"Neonium powder"
"Neoped Baby Lotion"
"Neopeptine Drop"
"Neoptine"
"Neostigmine Inj"
"Nephrisol cappuccino"
"Nephrosteril 250 inj"
"Nerve Plus"
"Nerverich tab"
"Netrolin B Syp"
"Netroplex Syp 60ml"
"Neuro B inj"
"Neuropane 100 Tab"
"Neutrosec Syp"
"NEWLANTA"
"Nexito 10 Tab"
"Nexito 5mg"
"Nexpime"
"Nifedipine 10 Tab"
"Nifedipine 20 Tab"
"Nifepine Inj"
"Nigut(pre probiotic)"
"Nimar Hepa"
"Nimop 30mg"
"Nitrocard spary"
"Nitrol Tab"
"Nocid Tab"
"Noklot plus"
"Nootropil Inj"
"Noradernalin inj"
"Norash Cream"
"Norbactin Tab"
"Norcurum Inj"
"Norflox Tab"
"Norgetex Tab"
"Normagut"
"Normanal 500mg"
"Novomix 30 insulin"
"Nucefitri SB inj"
"Nuceftri-SB"
"Nuflam cap"
"Nugel Syp"
"Nuno D"
"Nuphrostril inj"
"Nuramine inj"
"Nuroday Tab"
"Nurosec Syp"
"Nutrisol drip"
"Nutrisol S 5%"
"Nutrolin B Spy"
"Nutroplex  60 ml syp"
"Nylon 1"
"Nylon 2/0"
"Nylon 3/0"
"Nylon 4/0"
"O2 Mask (Adult)"
"O2 Mask (Child)"
"O2 Mask(ေလးအိတ္ပါ)"
"O2 Pipe (child)"
"O2 Pipe (Neuronate)"
"Obimin Calcium"
"OD iron"
"Ofloxacin (O2)"
"Ofloxacin 200mg"
"Oframax iv"
"Olanzapine tab"
"Omefit NM"
"Omega 3"
"omega 3 6 9"
"Omega Q30"
"Omez cap"
"Omez Inj"
"Omredol"
"Omyl 20mg Cap"
"Ondansetron Tab"
"Ondestron spy"
"Onilac"
"Opceden 100mg"
"Optima Pop 4/30"
"Optium"
"Optomycin eye"
"Oral Zinc Syp"
"ORBIZONE SB1 INJ"
"ORBIZONE SB2 INJ"
"Orlivex 120"
"Orofer"
"Orofer sy"
"ORS (BPI)"
"Osetron 4 Inj"
"Ostenil"
"Osterocare"
"ostide 100 mg"
"ostide 50 mg"
"ostide inj"
"otrivin nasal drop"
"Ovipluz"
"Oxifyl CR"
"Oxoferin solution"
"Oxygen cylinder"
"Oxygen Mask(Peadiatric)"
"Oxygen pipe(Child/Adult)"
"Oxytetra inj"
"Oxytetracyclin inj"
"Oxytocin Inj(Tocinox)"
"P-cetan 400mg"
"P-Pen Inj"
"P-Set"
"Pabrinex Inj"
"Paclozol (clotrimazole) cream"
"Pamaquine"
"Panamin-G Drip"
"Panamino Drip"
"Panfor SR"
"Panthol Cream"
"Pantocid 20mg"
"Pantocid 40mg"
"Pantocid DSR"
"Pantocid IV"
"Pantomil-D tab"
"Panzo-D"
"Paper plaster"
"Papsamear ဘူး"
"Para 120 Spy"
"Para Denk 500"
"Para drip 500mg"
"Para Suppo 125mg"
"Para Suppo 250mg"
"Para Suppo 500mg"
"para syp 250 mg"
"Paracetamol 500mg"
"Paried"
"PB Vita-L sy"
"Pen"
"Pen V"
"Pepcare SR"
"Pepsol"
"PER FECT MOM"
"perfect Men"
"perigard"
"Perosa Cream"
"PG Creamn (Anti 3)"
"PG Micozole cream"
"PH care"
"Pharolit pk"
"Pheno"
"Pheno Inj"
"Phenytonin inj"
"Phlebodia 600mg"
"Physiodose"
"Pilex cream"
"Pimevex 1000 inj"
"Piperacillin and Tazobactam 4.5g"
"Piperbact Inj"
"PL Vita"
"plagril 75mg"
"Plain Catgut 0"
"Plain Catgut 2/0"
"Plain Catgut 3/0"
"Plain Tube"
"Pneumovax23 / MenQudfi(ေဘးလုံး)"
"Pole plaster"
"Polidine large"
"Polidine small"
"Poly Inj"
"POP 4\""
"POP 6\""
"Potassium chloride Inj"
"Potassium Premenganate"
"Potrelease"
"Power Zone Inj"
"Powerxime 100mg"
"PP Glove"
"Pradaxa 150mg"
"Pramexol"
"Preasure Card"
"Precobal"
"Predinisolone"
